Sequence,Station Types,Station Quantity,Maximum Distance,Minimum Points,Name,Algorithm,Metric,Method,Seed,Generated Cluster Count,Valid Cluster Count,Clustered Station Count,Unclsutered Noise Count,Average Node Degree,Silhouette Coefficient,Calinski Harabaz score,Davies Bouldin score,Dunn Index,Modularity,Conductance Average,Coverage Score,Performance Score
84,['HN' 'LN'],281,50.0,2,OPTICS,auto,haversine,dbscan,None,10,10,263,18,22.536121673,-0.250339928856,11.5349823712,1.54911116705,0.0306895239066,0.0264766411484,0.112382906051,0.991266375546,0.374173868836
85,['HN' 'LN'],281,10.0,3,OPTICS,auto,haversine,dbscan,None,8,8,110,171,13.9090909091,-0.0714056365902,10.7551650869,3.14350693937,0.00726937971574,0.532178300032,0.0,0.985824742268,0.971784443315
86,['HN' 'LN'],281,20.0,3,OPTICS,auto,haversine,dbscan,None,8,8,119,162,26.6050420168,-0.0682221259115,12.0933539195,3.716777095,0.00831102648227,0.482798267372,0.257000038985,0.94730466384,0.98312150483
87,['HN' 'LN'],281,30.0,3,OPTICS,auto,haversine,dbscan,None,8,8,159,122,25.0440251572,-0.0241877746259,18.1763989522,3.06679991886,0.0165117740634,0.516370374777,0.145871715665,0.967804878049,0.947788510422
88,['HN' 'LN'],281,40.0,3,OPTICS,auto,haversine,dbscan,None,6,6,211,70,23.1090047393,-0.0811800488445,29.4802867499,1.65608080908,0.0196365876171,0.501729210996,0.139611018092,0.97663174859,0.822140315201
89,['HN' 'LN'],281,50.0,3,OPTICS,auto,haversine,dbscan,None,3,3,247,34,23.8947368421,0.0132886118612,16.1306791967,2.40668794392,0.0306895239066,0.0227838464619,0.114840254457,0.987571380584,0.373894255211
90,['HN' 'LN'],281,10.0,4,OPTICS,auto,haversine,dbscan,None,5,5,99,182,15.2424242424,-0.00464151359646,15.3942493955,1.21419448153,0.00521284207024,0.520204226007,0.000308023646359,0.971649484536,0.973919674631
91,['HN' 'LN'],281,20.0,4,OPTICS,auto,haversine,dbscan,None,5,5,110,171,28.5454545455,0.00551212889319,17.701733034,1.22590708848,0.00831102648227,0.477360783124,0.00910067853749,0.941853422168,0.982892730046
92,['HN' 'LN'],281,30.0,4,OPTICS,auto,haversine,dbscan,None,7,7,151,130,26.1986754967,-0.026340500541,17.445559749,7.8230902217,0.0165117740634,0.510063176681,0.166710532189,0.961463414634,0.947839349263
93,['HN' 'LN'],281,40.0,4,OPTICS,auto,haversine,dbscan,None,4,4,201,80,24.144278607,-0.0225928134623,37.7204024864,1.99194708528,0.0196365876171,0.499643931066,0.0707019093755,0.973005640612,0.832460599898
94,['HN' 'LN'],281,50.0,4,OPTICS,auto,haversine,dbscan,None,2,2,240,41,24.5333333333,0.123338114374,17.4582013181,2.75135440286,0.033222947144,0.0214263896908,0.234453141624,0.984884111522,0.385815963396
95,['HN' 'LN'],281,10.0,5,OPTICS,auto,haversine,dbscan,None,5,5,99,182,15.2424242424,-0.00464151359646,15.3942493955,1.21419448153,0.00521284207024,0.520204226007,0.000308023646359,0.971649484536,0.973919674631
96,['HN' 'LN'],281,20.0,5,OPTICS,auto,haversine,dbscan,None,3,3,98,183,31.4693877551,-0.0222735328195,17.1366199312,1.7159363359,0.00831102648227,0.460531968401,0.0151677975625,0.924894003634,0.982257244535
97,['HN' 'LN'],281,30.0,5,OPTICS,auto,haversine,dbscan,None,5,5,141,140,27.8085106383,0.0401484246399,23.4406947228,1.35200199781,0.0132862859634,0.503844378346,0.0586041086012,0.954146341463,0.950152516523
98,['HN' 'LN'],281,40.0,5,OPTICS,auto,haversine,dbscan,None,5,5,184,97,26.0217391304,0.0242993449517,28.4705785697,1.59728389827,0.0168883069284,0.509881623109,0.118000894337,0.959307010475,0.887646161668
99,['HN' 'LN'],281,50.0,5,OPTICS,auto,haversine,dbscan,None,2,2,210,71,27.519047619,0.14972227322,17.2117490394,2.91976675586,0.0204744830342,0.0378696080994,0.163384678345,0.965737319449,0.548779867819
100,['HN' 'LN'],281,10.0,2,AFFINITYPROPAGATION,None,precomputed,None,None,2,2,270,11,5.74814814815,0.0185993331513,203.766419034,2.20623826772,0.0126960319929,0.478743755978,0.0,1.0,0.559481443823
101,['HN' 'LN'],281,20.0,2,AFFINITYPROPAGATION,None,precomputed,None,None,2,2,131,150,24.3053435115,0.0544261065126,38.0391179412,1.87118433725,0.00831102648227,0.445473275562,0.0319729642348,0.950938824955,0.926487036096
102,['HN' 'LN'],281,30.0,2,AFFINITYPROPAGATION,None,precomputed,None,None,2,2,187,94,21.6096256684,0.0784785569402,58.1844661259,2.2721195754,0.0118086255579,0.476169066032,0.0137359508136,0.979024390244,0.830071174377
103,['HN' 'LN'],281,40.0,2,AFFINITYPROPAGATION,None,precomputed,None,None,2,2,227,54,21.5814977974,0.0653113384477,97.4523080902,2.20767619275,0.0118086255579,0.481950868169,0.0245235771339,0.975020145044,0.735053380783
104,['HN' 'LN'],281,50.0,2,AFFINITYPROPAGATION,None,precomputed,None,None,2,2,263,18,22.536121673,0.040169593031,178.443279849,2.08904483543,0.0126960319929,0.486100637865,0.0228500655731,0.983876385623,0.636858159634
105,['HN' 'LN'],281,10.0,3,AFFINITYPROPAGATION,None,precomputed,None,None,2,2,270,11,5.74814814815,0.0185993331513,203.766419034,2.20623826772,0.0126960319929,0.478743755978,0.0,1.0,0.559481443823
106,['HN' 'LN'],281,20.0,3,AFFINITYPROPAGATION,None,precomputed,None,None,2,2,131,150,24.3053435115,0.0544261065126,38.0391179412,1.87118433725,0.00831102648227,0.445473275562,0.0319729642348,0.950938824955,0.926487036096
